GPHeight,Pressure,O3PartialPressure,Temperature
100,998.5,2.996,-18.5
200,979.8571428571429,2.987857142857143,-18.4
300,971.94,2.9704,-18.2
400,964.0,2.967,-18.4
500,952.48,2.964,-18.2
600,941.0,2.974,-18.5
700,928.2,2.939,-19.2
800,915.0999999999999,2.8689999999999998,-20.2
900,902.7,2.825,-20.6
1000,890.825,2.8169999999999997,-21.1
1100,878.8,2.738,-21.7
1200,866.88,2.742,-22.4
1300,855.0,2.7165,-22.1
1400,843.425,2.7619999999999996,-22.375
1500,831.94,2.7372,-23.26
1600,820.7333333333333,2.65,-24.2
1700,809.4833333333333,2.616,-25.116666666666667
1800,798.475,2.55525,-25.8
1900,787.7,2.595,-24.1
2000,776.6,2.633,-24.275
2100,765.8,2.684,-24.9
2200,756.02,2.7556,-25.2
2300,745.0,2.834,-25.5
2400,735.06,2.8733999999999997,-25.96
2500,724.5999999999999,2.79,-26.05
2600,714.9,2.5838,-26.34
2700,705.16,2.4936,-26.9
2800,695.3,2.503,-27.4
2900,686.0,2.483,-28.0
3000,676.8000000000001,2.442,-28.28
3100,667.4,2.4621999999999997,-28.7
3200,658.15,2.544,-29.25
3300,649.0,2.608,-29.7
3400,639.96,2.421,-30.1
3500,631.0,2.4832,-30.3
3600,622.15,2.4435000000000002,-30.8
3700,613.5,2.319,-31.3
3800,604.8199999999999,2.2098,-32.1
3900,596.3,2.178,-32.8
4000,587.9,2.1321999999999997,-33.5
4100,579.58,2.0812,-34.1
4200,571.4,2.095,-34.7
4300,563.2,2.044,-35.3
4400,555.16,1.9872,-35.9
4500,547.2,2.402,-36.2
4600,539.34,1.7784,-36.8
4700,531.6999999999999,1.18925,-37.4
4800,523.94,1.1254,-38.0
4900,516.3666666666667,1.169,-38.6
5000,508.95000000000005,1.152,-39.3
5100,501.5,1.051,-39.9
5200,494.23333333333335,1.0706666666666667,-40.6
5300,487.03333333333336,1.1093333333333333,-41.21666666666667
5400,479.9,1.218,-41.8
5500,472.875,1.2782499999999999,-42.475
5600,465.92,1.388,-43.2
5700,458.97999999999996,1.42,-43.8
5800,452.2,1.359,-44.6
5900,445.5,1.3313333333333333,-45.46666666666667
6000,438.84,1.359,-46.1
6100,432.35,1.416,-46.849999999999994
6200,425.8,1.443,-47.7
6300,419.3666666666667,1.394,-48.6
6400,413.04,1.3206,-49.4
6500,406.76666666666665,1.2306666666666666,-50.1
6600,400.575,1.2189999999999999,-50.875
6700,394.46666666666664,1.2523333333333333,-51.8
6800,388.42,1.2514,-52.5
6900,382.48,1.23,-53.339999999999996
7000,376.58,1.2216,-54.2
7100,370.725,1.26275,-54.9
7200,364.9,1.235,-55.8
7300,359.26,1.2462000000000002,-56.58
7400,353.64,1.4486,-57.22
7500,348.04999999999995,1.523,-58.0
7600,342.56,1.6528,-58.42
7700,337.1666666666667,1.6646666666666667,-59.06666666666667
7800,331.79999999999995,1.6655,-59.55
7900,326.6,1.716,-59.9
8000,321.34999999999997,1.98425,-60.2
8100,316.25,1.9465,-60.3
8200,311.225,1.8952499999999999,-60.7
8300,306.2,2.058,-61.2
8400,301.32,2.1246,-61.6
8500,296.5,2.1485000000000003,-62.0
8600,291.78,2.3848000000000003,-62.0
8700,287.06666666666666,3.1326666666666667,-61.8
8800,282.5,3.6525,-61.9
8900,277.96,4.053,-61.48
9000,273.5,3.891,-60.8
9100,269.15,4.024,-60.7
9200,264.84999999999997,4.654,-60.6
9300,260.6,5.125,-59.9
9400,256.46666666666664,5.862666666666667,-59.2
9500,252.44,6.1434,-58.5
9600,248.45,6.234,-57.9
9700,244.55,6.4295,-58.2
9800,240.64999999999998,6.7010000000000005,-58.1
9900,236.86,6.5924,-58.0
10000,233.1,6.743,-57.8
10100,229.525,6.9775,-57.4
10200,225.84,7.1724,-57.0
10300,222.35000000000002,7.2685,-56.7
10400,218.86,7.4444,-56.4
10500,215.45,7.515499999999999,-56.4
10600,212.03333333333333,7.4736666666666665,-56.7
10700,208.75,7.641,-56.9
10800,205.475,7.8085,-57.1
10900,202.25,7.4635,-57.2
11000,199.075,7.81025,-56.5
11100,195.9,8.066,-56.7
11200,192.85000000000002,8.0915,-57.1
11300,189.85000000000002,8.388,-57.1
11400,186.86666666666667,8.741,-56.6
11500,183.975,8.83325,-56.5
11600,181.125,8.83675,-56.6
11700,178.22,8.8014,-57.1
11800,175.4,8.878,-57.2
11900,172.66,8.7826,-57.1
12000,170.0,8.82,-56.7
12100,167.35000000000002,8.959,-56.7
12200,164.67999999999998,9.1716,-57.1
12300,162.07999999999998,9.2304,-57.3
12400,159.53333333333333,9.430333333333333,-57.3
12500,157.075,9.942,-57.324999999999996
12600,154.625,10.09475,-57.5
12700,152.14999999999998,9.891,-57.5
12800,149.76,10.5518,-57.5
12900,147.38,10.514,-57.72
13000,145.125,10.5165,-57.9
13100,142.85000000000002,10.8515,-58.150000000000006
13200,140.56,10.8772,-58.5
13300,138.3,10.775,-58.7
13400,136.2,11.203,-59.0
13500,133.975,10.821000000000002,-59.3
13600,131.9,11.0285,-59.125
13700,129.8,11.100000000000001,-58.9
13800,127.775,11.171,-58.6
13900,125.7,11.666,-58.6
14000,123.76666666666667,11.986,-58.6
14100,121.73333333333333,12.542333333333334,-58.9
14200,119.825,13.042250000000001,-59.2
14300,117.92,13.9258,-59.5
14400,116.07499999999999,14.146749999999999,-60.0
14500,114.26,14.1496,-60.3
14600,112.4,14.13025,-60.4
14700,110.6,14.229,-60.1
14800,108.85,14.43,-59.7
14900,107.125,14.8825,-59.324999999999996
15000,105.4,15.352,-59.1
15100,103.8,15.129,-59.4
15200,102.1,15.19,-60.0
15300,100.46000000000001,15.1076,-60.9
15400,98.86,14.8612,-61.6
15500,97.3,14.78,-61.9
15600,95.76,14.813,-61.9
15700,94.2,14.897,-61.8
15800,92.68,12.6008,-61.9
15900,91.18,12.7132,-62.1
16000,89.72,13.605,-62.3
16100,88.3,14.2935,-62.5
16200,86.9,14.95975,-62.5
16300,85.5,15.297666666666666,-62.5
16400,84.08,15.1338,-62.6
16500,82.72,15.1336,-62.7
16600,81.4,15.667333333333334,-62.6
16700,80.1,15.467500000000001,-62.7
16800,78.825,15.83875,-63.2
16900,77.57499999999999,15.47575,-64.1
17000,76.26666666666667,15.37,-64.6
17100,75.06,15.325800000000001,-64.8
17200,73.825,15.628,-64.975
17300,72.64,15.3174,-65.5
17400,71.45,15.272,-65.8
17500,70.3,15.607,-65.8
17600,69.1,15.743599999999999,-65.8
17700,68.0,15.552249999999999,-65.9
17800,66.9,15.485,-65.9
17900,65.8,15.393,-65.8
18000,64.7,15.2598,-65.8
18100,63.7,14.9984,-65.6
18200,62.6,14.8614,-65.5
18300,61.6,14.7852,-65.5
18400,60.6,14.542,-65.61999999999999
18500,59.6,14.5224,-66.0
18600,58.650000000000006,14.033999999999999,-66.5
18700,57.7,13.903,-67.0
18800,56.7,13.725,-67.3
18900,55.8,13.5416,-67.4
19000,54.9,13.709,-67.8
19100,54.0,13.4752,-68.2
19200,53.08,13.2798,-68.5
19300,52.211111111111116,13.541444444444444,-68.6
19400,51.3,13.6325,-68.7
19500,50.5,13.3014,-69.0
19600,49.6,13.420666666666667,-69.3
19700,48.8,13.3816,-69.5
19800,48.0,13.1954,-69.66
19900,47.2,12.9635,-69.8
