GPHeight,Pressure,O3PartialPressure,Temperature
100,1008.18,3.23,18.4
200,996.592,3.697,17.439999999999998
300,985.005,4.078,16.8
400,973.3960000000001,4.4022,16.1
500,962.2379999999999,4.63,15.42
600,950.848,4.749,14.7
700,939.63,4.841,14.4
800,928.592,4.901800000000001,13.8
900,917.77,4.961,12.8
1000,906.69,4.959,11.7
1100,896.055,4.947,10.8
1200,885.24,4.8196666666666665,9.866666666666667
1300,874.8314285714285,4.827428571428571,9.2
1400,864.26,4.747,8.9
1500,854.0160000000001,4.5832,9.4
1600,843.71,4.4623333333333335,9.4
1700,833.65,4.22,10.2
1800,823.7579999999999,3.9884,9.5
1900,813.82,3.840857142857143,9.6
2000,803.94,3.821,9.6
2100,794.49,3.855,9.4
2200,784.8633333333333,3.908333333333333,8.8
2300,775.44,3.772,8.1
2400,766.14,3.683,7.4
2500,757.0057142857142,3.598,6.728571428571429
2600,747.674,3.3941999999999997,6.4
2700,738.6685714285715,3.2662857142857145,5.9
2800,729.64,3.103,5.1
2900,720.79,3.04,4.6
3000,712.046,2.933,4.0
3100,703.5033333333333,2.7878333333333334,3.5
3200,694.87,2.718,2.8
3300,686.3683333333333,2.6986666666666665,2.3
3400,677.86,2.5884,1.6
3500,669.472,2.5678,1.0
3600,661.106,2.565,0.32
3700,652.9,2.565,-0.2
3800,644.92,2.733,-0.7
3900,636.8316666666667,2.789,-1.3833333333333333
4000,628.9183333333333,2.8056666666666668,-2.0
4100,621.12,2.8215714285714286,-2.8714285714285714
4200,613.2049999999999,2.816,-3.45
4300,605.6,2.7896,-3.88
4400,597.972,2.7902,-4.82
4500,590.4714285714285,2.7392857142857143,-5.5
4600,582.9166666666666,2.688,-6.533333333333333
4700,575.52,2.713,-7.3
4800,568.0375,2.6527499999999997,-8.0
4900,560.89,2.628,-8.4
5000,553.745,2.666,-9.05
5100,546.5883333333334,2.8023333333333333,-7.5
5200,539.5799999999999,2.892,-7.7
5300,532.79,2.9046666666666665,-8.3
5400,525.8725000000001,2.88075,-9.2
5500,519.07375,2.843375,-9.9
5600,512.415,2.79175,-10.5
5700,505.81,2.717,-11.1
5800,499.33,2.7961666666666667,-11.5
5900,492.68857142857144,2.7925714285714283,-11.8
6000,486.33666666666664,2.7233333333333336,-12.533333333333333
6100,479.965,2.836,-13.25
6200,473.7842857142857,2.7595714285714283,-13.871428571428572
