GPHeight,Pressure,O3PartialPressure,Temperature
100,970.32,1.62,21.75
200,970.32,1.62,21.75
300,970.32,1.62,21.75
400,966.9671428571429,1.65,19.25
500,955.735,1.66,18.2525
600,944.67,1.67,17.36
700,933.648,1.652,16.552
800,922.7428571428571,1.66,15.642857142857142
900,911.9200000000001,1.63,14.98
1000,901.19,1.61,14.42
1100,890.5625,1.56,13.5275
1200,880.03,1.53,12.652
1300,869.634,1.55,11.712000000000002
1400,859.2575,1.53,11.33375
1500,849.01875,1.5,10.37375
1600,838.8966666666666,1.47,9.533333333333333
1700,828.8342857142857,1.43,8.614285714285714
1800,818.83,1.41,7.714
1900,809.01,1.41,7.382
2000,799.2099999999999,1.408,6.594
2100,789.57,1.406,5.678
2200,779.9749999999999,1.455,5.05
2300,770.4820000000001,1.46,4.566
2400,761.0224999999999,1.49,3.995
2500,751.7566666666667,1.5533333333333335,3.6533333333333333
2600,742.5740000000001,1.85,3.118
2700,733.44,1.91,2.714
2800,724.40375,1.94,2.1100000000000003
2900,715.5366666666667,1.8666666666666667,1.27
3000,706.6999999999999,1.78,0.91
3100,697.93,1.78,0.28
3200,689.2928571428572,1.8114285714285714,-0.18857142857142858
3300,680.7524999999999,1.84,-0.6775
3400,672.2766666666666,1.88,-1.3699999999999999
3500,663.9433333333334,1.89,-2.2933333333333334
3600,655.62,1.8466666666666667,-2.793333333333333
3700,647.4,1.818,-3.524
3800,639.2266666666666,1.8044444444444445,-3.944444444444444
3900,631.1975,1.8575000000000002,-4.1475
4000,623.2379999999999,2.0,-4.44
4100,615.3733333333333,2.06,-5.1433333333333335
4200,607.5699999999999,2.11,-5.838333333333334
4300,599.8966666666666,2.14,-6.633333333333333
4400,592.234,2.15,-7.314
4500,584.6700000000001,2.15,-8.255714285714285
4600,577.1949999999999,2.14,-9.137500000000001
4700,569.77,2.125,-9.835
4800,562.41,2.09,-10.504999999999999
4900,555.14,2.06,-11.26
5000,547.9785714285714,2.03,-12.23857142857143
5100,540.86,1.98,-12.84
5200,533.81,1.97,-13.54
5300,526.7866666666666,1.94,-14.206666666666667
5400,519.92,1.91,-14.99
5500,513.0857142857143,1.9,-15.437142857142856
5600,506.34,2.02,-15.53
5700,499.65,2.09,-16.5
5800,493.03,2.12,-16.92
5900,486.5,2.07,-17.64
6000,480.03555555555556,1.97,-18.006666666666668
6100,473.6325,1.93,-18.64875
6200,467.35,1.86,-19.52
6300,461.1,1.78,-20.15
6400,454.8833333333333,1.8566666666666667,-21.216666666666665
6500,448.77666666666664,1.89,-21.723333333333333
6600,442.718,1.83,-22.564
6700,436.6857142857143,1.6928571428571428,-23.411428571428573
6800,430.746,1.602,-24.302
6900,424.87142857142857,1.52,-25.15714285714286
7000,419.06666666666666,1.48,-25.843333333333334
7100,413.31,1.5,-26.64
7200,407.6,1.748,-26.484
7300,401.985,1.9249999999999998,-27.415
7400,396.45,1.99,-28.08125
7500,390.94,2.0,-29.136
7600,385.4816666666667,2.01,-29.974999999999998
7700,380.12199999999996,2.01,-30.900000000000002
7800,374.78499999999997,1.96,-31.575000000000003
7900,369.5125,1.99,-32.425
8000,364.3,1.95,-33.16
8100,359.12,1.94,-33.83
8200,354.03666666666663,1.9333333333333333,-34.766666666666666
8300,348.99,1.89,-35.6
8400,343.99,1.88,-36.37
8500,339.0842857142857,1.86,-37.35142857142857
8600,334.19166666666666,1.8783333333333332,-38.141666666666666
8700,329.3485714285714,1.88,-39.11
8800,324.5566666666667,1.83,-40.06
8900,319.862,1.81,-40.896
9000,315.164,1.82,-41.828
9100,310.5242857142857,1.83,-42.682857142857145
9200,305.94875,1.79875,-43.5875
9300,301.41,1.79,-44.25
9400,296.97,1.74,-45.504999999999995
9500,292.52000000000004,1.68,-46.402857142857144
9600,288.1277777777778,1.77,-46.736666666666665
9700,283.83666666666664,2.032222222222222,-47.425555555555555
