GPHeight,Pressure,O3PartialPressure,Temperature
100,969.59,2.096,-5.9399999999999995
200,957.2666666666667,2.09,-6.911111111111111
300,944.975,2.09,-7.9625
400,933.0111111111111,2.071111111111111,-8.88888888888889
500,920.9222222222222,2.077777777777778,-9.6
600,909.1555555555556,2.0655555555555556,-10.544444444444444
700,897.3888888888889,2.02,-11.455555555555556
800,885.7555555555556,2.0,-12.3
900,874.1,1.99,-13.0
1000,862.7,1.95,-13.8
1100,851.4777777777779,1.91,-14.422222222222222
1200,840.325,1.9,-14.8
1300,829.4,1.84,-14.955555555555556
1400,818.5111111111111,1.8111111111111111,-15.2
1500,807.8333333333334,1.7533333333333334,-16.0
1600,797.2,1.726,-16.84
1700,786.5666666666666,1.69,-17.733333333333334
1800,776.1777777777778,1.64,-18.322222222222223
1900,765.9,1.63,-17.5
2000,755.7,1.57,-18.1
2100,745.6,1.55,-18.3
2200,735.5999999999999,1.53,-18.6
2300,725.73,1.48,-18.23
2400,716.1,1.46,-18.9
2500,706.55,1.495,-19.45
2600,697.18,1.528,-20.28
2700,687.7,1.5,-20.9
2800,678.4,1.53,-21.81111111111111
2900,669.05,1.53,-22.55
3000,659.98,1.51,-23.38
3100,651.09,1.51,-24.29
3200,642.2,1.5,-25.3
3300,633.2900000000001,1.47,-26.09
3400,624.6111111111112,1.47,-27.011111111111113
3500,615.9200000000001,1.47,-27.72
3600,607.32,1.47,-28.72
3700,598.8727272727273,1.47,-29.490909090909092
3800,590.54,1.4529999999999998,-30.47
3900,582.27,1.423,-31.17
4000,574.14,1.3330000000000002,-31.77
4100,566.14,1.2930000000000001,-32.6
4200,558.14,1.29,-33.47
4300,550.2636363636364,1.29,-34.25454545454546
4400,542.39,1.31,-34.93
4500,534.6272727272727,1.3,-35.60909090909091
4600,527.0363636363636,1.31,-36.24545454545454
4700,519.5181818181818,1.32,-37.07272727272727
4800,512.0272727272727,1.33,-37.96363636363636
4900,504.6181818181818,1.31,-38.77272727272727
5000,497.23636363636365,1.310909090909091,-39.50909090909091
5100,489.9888888888889,1.3,-40.288888888888884
5200,482.93,1.3,-41.11
5300,475.92,1.3,-41.8
5400,468.95000000000005,1.295,-42.650000000000006
5500,461.99,1.27,-43.33
5600,455.2,1.25,-43.9
5700,448.47999999999996,1.3,-43.96
5800,441.73636363636365,1.36,-44.5
5900,435.18,1.376,-45.06
6000,428.72727272727275,1.38,-45.78181818181818
6100,422.3272727272727,1.3418181818181818,-46.581818181818186
6200,416.06363636363636,1.3590909090909091,-47.29090909090909
6300,409.8272727272727,1.3318181818181818,-48.081818181818186
6400,403.6,1.28,-48.8
6500,397.46666666666664,1.29,-49.66666666666667
6600,391.43636363636364,1.289090909090909,-50.50909090909091
6700,385.3916666666667,1.2641666666666667,-51.25833333333333
6800,379.5,1.21,-52.0
6900,373.6636363636364,1.0527272727272727,-52.79090909090909
7000,367.9727272727273,1.0418181818181818,-53.63636363636364
7100,362.28181818181815,1.04,-54.4
7200,356.6181818181818,1.08,-55.36363636363636
7300,351.0272727272727,1.0136363636363637,-56.28181818181818
7400,345.56363636363636,0.9,-56.87272727272727
7500,340.1,0.86,-57.75
7600,334.76153846153846,0.8023076923076924,-58.4
7700,329.40000000000003,0.8071428571428572,-59.02857142857143
7800,324.18571428571425,0.81,-59.66428571428572
7900,319.05,0.85,-60.378571428571426
8000,313.9384615384615,0.9023076923076924,-61.12307692307692
8100,308.90000000000003,1.0666666666666667,-61.6
8200,303.95,1.1441666666666666,-62.34166666666666
8300,299.06666666666666,1.21,-62.93333333333333
8400,294.2,1.23,-63.7
8500,289.4428571428571,1.3142857142857143,-63.857142857142854
8600,284.7,1.47,-64.1
8700,280.1166666666667,1.4883333333333333,-64.31666666666666
8800,275.55,1.32,-65.05833333333334
8900,271.0833333333333,1.205,-65.88333333333334
9000,266.63846153846157,1.236923076923077,-66.4
9100,262.23846153846154,1.3276923076923077,-66.6
9200,257.96923076923076,1.463076923076923,-67.04615384615384
9300,253.74615384615385,1.649230769230769,-67.16923076923077
9400,249.52307692307693,1.9461538461538461,-67.01538461538462
9500,245.5,2.17,-66.9
9600,241.36153846153846,2.278461538461538,-67.1
9700,237.5,2.18,-67.7
9800,233.53846153846155,2.11,-68.3
9900,229.7,2.3,-68.0
10000,225.89166666666665,2.6933333333333334,-68.4
10100,222.2,2.92,-68.8
10200,218.45,2.9450000000000003,-68.75
10300,214.86666666666665,3.19,-68.6
10400,211.33333333333334,3.2883333333333336,-68.99166666666667
10500,207.76666666666665,3.2841666666666667,-69.45833333333334
10600,204.38181818181818,3.28,-69.7
10700,201.0,3.3525,-70.025
10800,197.59166666666667,3.424166666666667,-70.3
10900,194.2846153846154,3.605384615384615,-69.2
