GPHeight,Pressure,O3PartialPressure,Temperature
100,1012.2016666666667,2.74,9.8
200,1000.1533333333333,3.263333333333333,8.8
300,988.1,3.44,8.2
400,976.2633333333333,3.2966666666666664,7.9
500,964.506,3.42,7.3
600,952.846,3.488,6.6
700,941.246,3.58,5.8
800,929.8975,3.52,5.3
900,918.605,3.5675,4.625
1000,907.3775,3.56,4.025
1100,896.275,3.5775,3.5
1200,885.3100000000001,3.474,3.1
1300,874.42,3.38,2.5
1400,863.708,3.26,2.0
1500,853.038,3.27,1.4
1600,842.54,3.29,0.9
1700,832.0999999999999,3.21,0.25
1800,821.8425,3.17,0.4
1900,811.6925,3.28,1.4
2000,801.6375,3.51,1.2
2100,791.74,3.77,0.6
2200,781.876,3.83,0.0
2300,772.225,3.78,-0.7
2400,762.576,3.81,-0.7
2500,753.0975,4.0,-1.0
2600,743.725,4.01,-1.4
2700,734.37,3.94,-2.1
2800,725.228,3.908,-2.5
2900,716.1274999999999,4.05,-2.8
3000,707.1075000000001,4.0625,-3.0
3100,698.22,4.077500000000001,-3.3
3200,689.4675,4.02,-3.7
3300,680.752,4.008,-4.28
3400,672.17,3.96,-5.1
3500,663.61,3.92,-5.8
3600,655.198,3.9,-6.74
3700,646.85,3.85,-7.4
3800,638.585,3.77,-8.0
3900,630.428,3.748,-8.08
4000,622.3625000000001,3.75,-8.725
4100,614.322,3.74,-9.6
4200,606.4449999999999,3.7375,-10.2
4300,598.56,3.7,-10.9
4400,590.804,3.724,-11.3
4500,583.17,3.8066666666666666,-11.4
4600,575.595,3.85,-12.05
4700,568.11,3.81,-12.7
4800,560.68,3.77,-13.3
4900,553.4060000000001,3.854,-13.3
5000,546.1528571428571,4.1257142857142854,-12.357142857142858
5100,539.0699999999999,3.745,-12.7
5200,532.0,3.495,-13.5
5300,525.02,3.28,-14.0
5400,518.165,3.11,-14.6
5500,511.35249999999996,2.96,-15.3
5600,504.596,2.916,-16.0
5700,497.95,2.87,-16.9
5800,491.33799999999997,2.83,-17.72
5900,484.815,2.8,-18.4
6000,478.34,2.71,-19.2
6100,471.93,2.66,-20.080000000000002
6200,465.608,2.62,-20.98
6300,459.31666666666666,2.62,-21.3
6400,453.14,2.68,-22.0
6500,446.99,2.68,-22.8
6600,440.936,2.64,-23.3
6700,434.97200000000004,2.554,-23.5
6800,429.06,2.5,-24.24
6900,423.186,2.44,-24.9
7000,417.41,2.38,-25.6
7100,411.70599999999996,2.39,-25.7
7200,406.07,2.37,-26.0
7300,400.47,2.38,-26.6
7400,394.97,2.36,-27.3
7500,389.5,2.348,-28.22
7600,384.0933333333333,2.34,-29.1
7700,378.71333333333337,2.356666666666667,-30.0
7800,373.42,2.34,-30.9
7900,368.22285714285715,2.2928571428571427,-31.8
8000,363.03,2.282857142857143,-32.62857142857143
8100,357.8933333333333,2.28,-33.53333333333333
8200,352.82,2.2,-34.41428571428571
8300,347.7833333333333,2.15,-35.3
8400,342.81,2.12,-36.0
8500,337.91200000000003,2.12,-36.879999999999995
8600,333.0683333333333,2.14,-37.61666666666667
8700,328.25142857142856,2.16,-38.48571428571429
8800,323.5,2.12,-39.36666666666667
8900,318.808,2.09,-40.3
9000,314.136,2.058,-41.120000000000005
9100,309.54333333333335,1.9633333333333334,-41.9
9200,305.01,1.95,-42.6
9300,300.524,1.91,-43.339999999999996
9400,296.05833333333334,1.95,-44.11666666666667
9500,291.6842857142857,1.92,-44.8
9600,287.322,1.89,-45.8
9700,283.06666666666666,1.82,-46.5
9800,278.8,1.76,-47.43333333333333
9900,274.5985714285714,1.69,-48.2
10000,270.48,1.7,-48.8
10100,266.38,1.68,-49.7
10200,262.31,1.67,-50.88333333333333
10300,258.32,1.62,-51.72
10400,254.34285714285716,1.5814285714285714,-52.285714285714285
10500,250.43714285714287,1.59,-53.0
10600,246.58714285714285,1.61,-53.9
10700,242.74,1.6,-54.7
10800,238.97833333333332,1.6,-55.68333333333334
10900,235.24666666666667,1.56,-56.5
11000,231.54,1.53,-57.4
11100,227.92000000000002,1.495,-58.349999999999994
11200,224.3185714285714,1.467142857142857,-59.12857142857143
11300,220.76000000000002,1.44,-60.0
11400,217.246,1.4,-60.9
11500,213.75571428571428,1.3885714285714286,-61.51428571428571
11600,210.3425,1.39,-62.275
11700,206.935,1.46,-63.2
11800,203.60666666666665,1.53,-64.0
11900,200.3,1.67,-64.9
12000,197.03571428571428,1.8257142857142858,-65.54285714285714
12100,193.82285714285715,2.077142857142857,-65.8
12200,190.64857142857144,2.341428571428571,-65.8
12300,187.54,2.6285714285714286,-65.07142857142857
12400,184.5,2.992857142857143,-63.41428571428571
12500,181.52166666666668,3.4316666666666666,-62.88333333333333
12600,178.6,3.82,-62.0
12700,175.73428571428573,4.12,-62.02857142857143
12800,172.92285714285714,4.301428571428572,-61.8
12900,170.15333333333334,4.413333333333333,-61.61666666666667
13000,167.43,4.55,-61.07142857142857
13100,164.7475,4.6775,-61.0
13200,162.11599999999999,4.822,-61.26
13300,159.518,4.85,-60.8
13400,156.96833333333333,4.87,-60.9
13500,154.468,4.894,-60.5
13600,152.01666666666668,4.84,-60.3
13700,149.58,4.63,-60.2
13800,147.2175,4.865,-59.824999999999996
13900,144.876,4.77,-59.7
14000,142.57,4.562,-59.8
14100,140.32,4.35,-59.5
14200,138.08999999999997,5.34,-59.3
14300,135.902,4.8340000000000005,-59.6
14400,133.75,3.94,-59.3
14500,131.61999999999998,3.662857142857143,-59.4
14600,129.548,3.0,-59.2
14700,127.4875,3.005,-59.7
14800,125.456,2.95,-60.24
14900,123.46,3.085,-60.3
15000,121.49,3.33,-59.8
15100,119.5675,3.6174999999999997,-60.2
15200,117.66,3.64,-60.4
15300,115.77833333333334,3.51,-61.016666666666666
15400,113.94,3.76,-60.9
15500,112.118,3.924,-60.86
15600,110.332,3.99,-60.08
15700,108.57857142857142,4.637142857142857,-59.84285714285714
15800,106.84333333333333,5.387777777777778,-60.544444444444444
15900,105.14,5.905,-61.05
16000,103.45666666666666,5.703333333333333,-61.0
16100,101.8025,5.47,-61.175000000000004
16200,100.176,5.85,-61.2
16300,98.58399999999999,6.874,-61.2
16400,97.0,7.46,-61.0
16500,95.45,7.85,-61.0
16600,93.92999999999999,8.413333333333334,-60.3
16700,92.43,8.69,-60.7
16800,90.958,8.75,-61.339999999999996
16900,89.49600000000001,8.558,-60.7
17000,88.08,7.81,-60.5
17100,86.68166666666667,7.49,-60.9
17200,85.28666666666666,7.741666666666667,-60.4
17300,83.93333333333334,8.018333333333333,-61.18333333333334
17400,82.595,8.6,-60.3
17500,81.274,9.370000000000001,-59.82
17600,79.986,9.912,-59.9
17700,78.71333333333332,10.303333333333333,-60.2
17800,77.46,10.84,-60.3
17900,76.224,11.112,-61.1
18000,75.005,11.145,-61.95
18100,73.796,11.1,-62.5
18200,72.612,11.436,-61.86
18300,71.45,11.01,-61.3
18400,70.31,10.015,-61.150000000000006
18500,69.184,9.527999999999999,-61.3
18600,68.072,8.98,-61.32
18700,66.99,8.35,-61.3
18800,65.91,8.01,-60.9
18900,64.86,7.85,-61.4
19000,63.830000000000005,8.022,-61.3
19100,62.8,8.141666666666667,-61.1
19200,61.800000000000004,8.465714285714286,-61.4
19300,60.81,8.4,-61.7
19400,59.83,8.71,-62.4
19500,58.870000000000005,8.88,-62.5
19600,57.92,8.86,-63.1
19700,56.986666666666665,8.816666666666666,-63.7
19800,56.065,8.879999999999999,-64.1
19900,55.15,8.92,-64.2
20000,54.265,9.345,-64.2
20100,53.38,9.59,-64.3
20200,52.514,9.89,-63.7
20300,51.67,10.01,-63.3
20400,50.83,10.245000000000001,-63.55
20500,50.01,10.16,-64.2
20600,49.198,10.252,-64.4
20700,48.397999999999996,10.324,-64.1
20800,47.61333333333334,10.643333333333333,-64.16666666666667
20900,46.846,10.926,-64.3
21000,46.086,11.06,-64.34
21100,45.34,11.44,-63.5
21200,44.6,12.32,-63.6
21300,43.882,12.904,-63.5
21400,43.176,13.05,-63.4
21500,42.47666666666667,13.286666666666665,-63.1
21600,41.79,13.26,-62.9
21700,41.115,13.33,-63.1
21800,40.456,13.17,-62.8
21900,39.800000000000004,13.373333333333333,-62.2
22000,39.163333333333334,13.81,-62.2
22100,38.536,14.068,-62.28
22200,37.916666666666664,14.16,-62.583333333333336
22300,37.3,14.23,-62.7
22400,36.7,14.38,-63.0
22500,36.11,14.68,-62.3
22600,35.535000000000004,14.781666666666666,-62.8
22700,34.95666666666666,14.55,-63.1
22800,34.394285714285715,13.848571428571429,-63.5
22900,33.83714285714286,13.19,-63.24285714285714
23000,33.295,13.125,-62.8
23100,32.760000000000005,13.16,-62.7
23200,32.228,13.31,-62.9
23300,31.71,13.24,-62.8
23400,31.205,13.32,-63.0
23500,30.695714285714285,13.19142857142857,-63.5
23600,30.196666666666665,13.26,-63.7
23700,29.71,13.12,-64.1
23800,29.226666666666667,13.058333333333334,-64.1
23900,28.75,13.17,-64.3
24000,28.29,13.036666666666665,-64.23333333333333
24100,27.834,13.0,-64.3
24200,27.378,13.13,-64.36
24300,26.93,13.04,-64.3
24400,26.496666666666666,12.993333333333334,-63.6
24500,26.067999999999998,13.074,-63.8
24600,25.645,13.121666666666666,-63.7
24700,25.23333333333333,12.846666666666666,-64.0
24800,24.82,12.53,-64.1
24900,24.416,11.318,-63.8
25000,24.024285714285714,10.70142857142857,-63.4
25100,23.64,10.38,-63.9
25200,23.254,9.96,-63.3
25300,22.876666666666665,10.161666666666667,-63.11666666666667
25400,22.50857142857143,10.618571428571428,-63.042857142857144
25500,22.15,10.61,-62.8
25600,21.79,10.54,-62.7
25700,21.44333333333333,10.536666666666665,-63.233333333333334
25800,21.093333333333334,10.396666666666667,-63.4
25900,20.75,10.4,-63.5
26000,20.416,10.17,-63.7
26100,20.09,10.035,-63.849999999999994
26200,19.76,9.84,-64.4
26300,19.438333333333333,9.768333333333333,-64.38333333333334
26400,19.123333333333335,9.631666666666668,-63.8
26500,18.816666666666666,9.68,-62.4
26600,18.51666666666667,9.75,-61.9
26700,18.218,9.546000000000001,-62.1
26800,17.93,9.32,-62.0
26900,17.636666666666667,9.248333333333333,-62.5
27000,17.354,8.964,-62.2
27100,17.073333333333334,8.91,-62.3
27200,16.798571428571428,8.85,-62.7
27300,16.528333333333336,8.683333333333334,-62.416666666666664
27400,16.263333333333332,8.51,-62.8
27500,16.002857142857142,8.352857142857143,-63.27142857142857
27600,15.746,8.204,-63.7
27700,15.491428571428571,8.077142857142857,-63.1
27800,15.235,7.9,-62.7
27900,14.993333333333334,8.01,-62.11666666666667
28000,14.748333333333333,7.99,-61.68333333333334
28100,14.515,8.135000000000002,-61.349999999999994
28200,14.286666666666665,8.07,-61.4
28300,14.053333333333335,7.99,-62.0
28400,13.833333333333334,7.99,-62.0
28500,13.608333333333333,7.836666666666667,-62.1
28600,13.393333333333334,7.706666666666667,-62.1
28700,13.176666666666666,7.623333333333333,-62.0
28800,12.963333333333335,7.403333333333333,-62.1
28900,12.752,7.232,-62.28
29000,12.548333333333334,7.096666666666667,-62.5
29100,12.348333333333333,6.638333333333333,-62.7
29200,12.145,6.445,-62.3
29300,11.95,6.36,-62.2
29400,11.765714285714285,6.32,-62.1
29500,11.57,6.31,-61.7
29600,11.39,6.29,-61.5
29700,11.208333333333334,6.31,-61.1
29800,11.03,6.27,-60.4
29900,10.848333333333333,6.155,-60.8
30000,10.678333333333333,6.09,-61.2
30100,10.51,5.95,-61.7
30200,10.335714285714285,5.795714285714285,-61.6
30300,10.17,5.67,-61.9
30400,10.012,5.592,-62.2
30500,9.85,5.484285714285715,-61.542857142857144
30600,9.692499999999999,5.6674999999999995,-60.9
30700,9.538571428571428,5.792857142857143,-61.51428571428571
30800,9.383000000000001,5.897,-61.9
30900,9.2375,5.89,-61.375
31000,9.085555555555555,5.75,-61.3
31100,8.942499999999999,5.6,-62.075
31200,8.792857142857143,5.53,-62.97142857142857
31300,8.65625,5.41625,-63.9375
31400,8.511666666666667,5.281666666666667,-64.4
31500,8.4,5.21,-63.5
31600,8.4,5.21,-63.5
