id,name,party_id,election_type_id
1,丁學忠,1,2
2,傅崐萁,1,2
3,吳政杰,1,2
4,呂玉玲,1,2
5,周宏昌,1,2
6,姚正玉,1,2
7,廖偉翔,1,2
8,廖先翔,1,2
9,張斯綱,1,2
10,張智倫,1,2
11,張秀華,1,2
12,徐巧芯,1,2
13,徐欣瑩,1,2
14,曹桓榮,1,2
15,李彥秀,1,2
16,李明璇,1,2
17,李眉蓁,1,2
18,林國春,1,2
19,林家興,1,2
20,林德福,1,2
21,林思銘,1,2
22,林沛祥,1,2
23,林金結,1,2
24,楊曜聰,1,2
25,楊瓊瓔,1,2
26,江啟臣,1,2
27,洪佳君,1,2
28,洪孟楷,1,2
29,涂權吉,1,2
30,游淑慧,1,2
31,游顥,1,2
32,牛煦庭,1,2
33,王鴻薇,1,2
34,羅廷瑋,1,2
35,羅明才,1,2
36,羅智強,1,2
37,萬美玲,1,2
38,葉元之,1,2
39,蔡明堂,1,2
40,蔣欣璋,1,2
41,詹琬蓁,1,2
42,謝衣鳯,1,2
43,賴士葆,1,2
44,邱良閱,1,2
45,邱若華,1,2
46,邱鎮軍,1,2
47,鄭俊雄,1,2
48,鄭正鈐,1,2
49,鍾小平,1,2
50,鍾易仲,1,2
51,阮厚爵,1,2
52,陳以信,1,2
53,陳玉珍,1,2
54,陳美雅,1,2
55,陳若翠,1,2
56,陳雪生,1,2
57,顏寬恒,1,2
58,馬文君,1,2
59,魯明哲,1,2
60,黃健豪,1,2
61,黃建賓,1,2
62,黃明賢,1,2
63,黃柏霖,1,2
64,黃琤婷,1,2
310,孔文吉,1,3
311,盧縣一,1,3
320,鄭天財 Sra‧Kacaw,1,4
321,黃仁,1,4
329,侯友宜/趙少康,1,1
65,陳聖,2,2
66,李承龍,3,2
67,蔡念諶,4,2
68,何淯笙,5,2
69,李孟翰,5,2
70,林澤培,5,2
71,林芳竹,5,2
72,桂麗娜,5,2
73,翁藤原,5,2
74,郭啟源,5,2
75,郭炳宏,5,2
76,陳志豪,5,2
77,黃千庭,5,2
78,吳媚宮,6,2
79,何梅娟,7,2
80,何秋葺,7,2
81,余新造,7,2
82,劉承智,7,2
83,孟藹倫,7,2
84,張家榛,7,2
85,張臺勝,7,2
86,翁紹庭,7,2
87,胡金城,7,2
88,詹秋嫻,7,2
89,賴宗育,8,2
90,周玉梅,9,2
91,張雪卿,9,2
92,戴浙,9,2
93,游清池,9,2
94,熊嘉玲,9,2
95,簡銘傑,9,2
96,趙福龍,9,2
97,邱介勲,9,2
98,邱吉均,9,2
99,高士恩,9,2
100,魏趨安,9,2
101,黃啟彬,9,2
102,湛秀英,10,2
103,許文忠,10,2
104,甘乃迪,11,2
