Data Type/Direction:                       StormTracker/Ascending
File Format/Version:                       EOL Sounding Format/1.1
Project Name/Platform:                     unknown/StormTracker
Launch Site:                               unknown
Launch Location (lon,lat,alt):             120.37643, 23.18603, 87.41383030478067
UTC Launch Time (y,m,d,h,m,s):             2021, 04, 02, 11:59:57
Sonde Id/Sonde Type:                       unknown/StormTracker/
Reference Launch Data Source/Time:         unknown/unknown
System Operator/Comments:                  SOUNDING IN EOL FORMAT/
Post Processing Comments:                  AIQC_process_v2.1_L2; Created on 10 Dec 2021 08:48 UTC  
/
  Time   -- UTC  --   Press    Temp   Dewpt    RH     Uwind   Vwind   Wspd     Dir     dZ    GeoPoAlt     Lon         Lat      GPSAlt 
   sec   hh mm   ss     mb      C       C       %      m/s     m/s     m/s     deg     m/s       m        deg         deg         m   
-------- -- -- ----- ------- ------- ------- ------- ------- ------- ------- ------- ------- -------- ----------- ----------- --------
    0.00 11 59 57.00 1005.60   34.12   22.19   49.90    0.01   -0.01    0.02  327.08    0.00       86  120.376430   23.186020    85.73 
    4.78 12 00 01.77 1005.00   34.27   22.21   49.55    0.28   -0.43    0.51  327.08    3.95       91  120.376430   23.186030    87.41 
    6.94 12 00 03.94 1004.00   34.24   22.00   49.01    5.97   -2.98    6.71  296.90    3.47      100  120.376507   23.185991    93.45 
    8.55 12 00 05.54 1003.00   34.18   21.91   48.90    4.49    3.67    6.22  227.97    6.00      109  120.376550   23.186057    99.69 
    9.87 12 00 06.86 1002.00   34.12   21.89   48.99    4.12    2.72    5.03  236.81    6.78      118  120.376567   23.186097   106.27 
   11.45 12 00 08.45 1001.00   34.03   21.86   49.15    4.33   -4.09    6.67  310.59    5.01      127  120.376638   23.186062   117.66 
   13.42 12 00 10.41 1000.00   33.91   21.82   49.34    6.97   -2.84    8.48  291.86    5.19      136  120.376739   23.185986   127.40 
   15.17 12 00 12.16  999.00   33.79   21.77   49.53    2.83   -0.67    3.81  220.40    5.08      145  120.376833   23.185975   138.76 
   16.63 12 00 13.63  998.00   33.68   21.76   49.83    3.85   -7.51    8.76  205.36    6.65      154  120.376869   23.185912   147.32 
   18.70 12 00 15.69  997.00   33.54   21.71   50.07    4.32    1.39    4.62  248.82    3.79      163  120.376968   23.185881   157.28 
   20.49 12 00 17.48  996.00   33.41   21.68   50.35    7.48   -4.04    8.62  296.35    5.43      172  120.377069   23.185861   165.37 
   21.97 12 00 18.96  995.00   33.28   21.65   50.59    6.63   -0.08    6.69  270.15    6.03      181  120.377178   23.185821   174.40 
   23.68 12 00 20.68  994.00   33.18   21.64   50.87    2.31   -0.57    2.44  282.01    5.75      190  120.377224   23.185840   183.46 
   25.40 12 00 22.39  993.00   33.05   21.62   51.18    5.96   -4.28    7.91  306.09    5.06      199  120.377310   23.185800   193.13 
   26.89 12 00 23.89  992.00   32.94   21.62   51.48    4.65    0.20    5.21  265.55    6.27      208  120.377376   23.185752   201.72 
   28.34 12 00 25.33  991.00   32.84   21.61   51.77    3.42    1.08    3.69  252.43    6.27      217  120.377410   23.185780   209.99 
   29.85 12 00 26.84  990.00   32.71   21.62   52.15    2.19   -7.24    7.98  335.82    5.58      226  120.377455   23.185738   219.34 
   31.81 12 00 28.80  989.00   32.56   21.55   52.38    3.74   -0.04    4.34  279.99    4.72      235  120.377448   23.185716   226.59 
   33.73 12 00 30.73  988.00   32.40   21.49   52.67    4.05   -6.02    7.42  326.12    4.59      244  120.377527   23.185673   234.84 
   35.55 12 00 32.54  987.00   32.28   21.50   53.05    3.43   -1.72    4.43  299.89    4.54      253  120.377586   23.185625   242.70 
