--------------------------------------------------------------------------------------------------------------
      PRES      HGHT      TEMP      DWPT      RELH      MIXR      DRCT      SKNT      THTA      THTE      THTV
       hPa         m         C         C         %      g/kg       deg      knot         K         K         K
--------------------------------------------------------------------------------------------------------------
    1020.0       7.0      19.0      13.0      68.0       9.3      90.0      12.0     290.5     317.0     292.1
    1000.0     179.0      17.0      12.3      74.0       9.1      90.0      16.0     290.1     315.9     291.7
     925.0     838.0      11.4      10.1      92.0       8.4     100.0      14.0     291.0     315.2     292.4
     900.0    1065.0       9.7       8.6      93.0       7.9      95.0      10.0     291.5     314.1     292.9
     862.0    1423.0       7.1       6.3      95.0       7.0     125.0       6.0     292.4     312.7     293.6
     850.0    1539.0       6.2       5.6      96.0       6.8     185.0       6.0     292.6     312.3     293.8
     834.0    1695.0       5.4       4.8      96.0       6.5     274.0       4.0     293.4     312.4     294.5
     832.0    1714.0       5.3       4.7      96.0       6.5     285.0       4.0     293.5     312.4     294.6
     804.0    1991.0       3.9       2.9      93.0       5.9     265.0       6.0     294.9     312.3     295.9
     745.0    2607.0       0.8      -0.9      88.0       4.8     290.0      21.0     298.0     312.6     298.9
     711.0    2985.0      -1.1      -3.3      85.0       4.2     268.0      29.0     299.9     312.9     300.7
     700.0    3110.0       0.4      -0.6      93.0       5.3     260.0      31.0     302.9     319.0     303.9
     686.0    3272.0       1.4       0.2      92.0       5.7     252.0      34.0     305.8     323.4     306.8
     655.0    3645.0       1.4       0.9      96.0       6.3     235.0      41.0     309.8     329.5     311.0
     646.0    3756.0       1.4       1.1      98.0       6.5     235.0      42.0     311.1     331.4     312.3
     589.0    4494.0      -3.1      -3.5      97.0       5.0     237.0      49.0     314.1     330.4     315.1
     560.0    4891.0      -6.5     -20.5      32.0       1.3     238.0      53.0     314.7     319.4     314.9
     530.0    5319.0      -7.5     -26.5      20.0       0.8     239.0      57.0     318.5     321.5     318.6
     511.0    5602.0      -9.5     -10.0      96.0       3.5     240.0      60.0     319.4     331.2     320.1
     500.0    5770.0      -9.9     -10.4      96.0       3.5     240.0      62.0     320.9     332.6     321.6
     419.0    7115.0     -18.3     -18.9      95.0       2.1     232.0      78.0     326.8     334.0     327.2
     405.0    7368.0     -20.7     -30.7      40.0       0.7     231.0      81.0     326.8     329.6     327.0
     403.0    7404.0     -19.1     -30.1      37.0       0.8     230.0      81.0     329.4     332.3     329.5
     400.0    7460.0     -19.5     -30.5      37.0       0.8     230.0      82.0     329.6     332.4     329.7
     393.0    7591.0     -19.9     -28.9      45.0       0.9     230.0      82.0     330.7     334.1     330.9
     388.0    7687.0     -18.5     -38.5      15.0       0.4     230.0      82.0     333.8     335.2     333.8
     380.0    7843.0     -17.7     -41.7      10.0       0.3     230.0      81.0     336.8     337.9     336.9
     352.0    8402.0     -21.8     -46.2       9.0       0.2     230.0      80.0     338.7     339.4     338.7
     300.0    9570.0     -30.5     -55.5       7.0       0.1     250.0      84.0     342.3     342.6     342.3
     269.0   10332.0     -37.1     -53.9      16.0       0.1     245.0      86.0     343.5     343.9     343.5
     256.0   10678.0     -40.1     -53.1      24.0       0.1     242.0      87.0     344.0     344.4     344.0
     250.0   10840.0     -41.5     999.9     999.9     999.9     240.0      87.0     344.2     999.9     344.2
     200.0   12310.0     -53.7     999.9     999.9     999.9     235.0      97.0     347.6     999.9     347.6
     174.0   13180.0     -59.7     999.9     999.9     999.9     230.0     101.0     351.8     999.9     351.8
     157.0   13822.0     -64.1     999.9     999.9     999.9     244.0      89.0     354.8     999.9     354.8
     150.0   14100.0     -64.5     999.9     999.9     999.9     250.0      84.0     358.8     999.9     358.8
     133.0   14806.0     -70.4     999.9     999.9     999.9     260.0      72.0     360.8     999.9     360.8
     108.0   16027.0     -80.7     999.9     999.9     999.9     238.0      65.0     363.5     999.9     363.5
     105.0   16185.0     -80.7     999.9     999.9     999.9     235.0      64.0     366.4     999.9     366.4
     100.0   16460.0     -80.7     999.9     999.9     999.9     230.0      66.0     371.6     999.9     371.6
      96.0   16689.0     -81.8     999.9     999.9     999.9     225.0      68.0     373.7     999.9     373.7
      94.5   16778.0     -82.3     999.9     999.9     999.9     225.0      66.0     374.5     999.9     374.5
      89.2   17104.0     -77.7     999.9     999.9     999.9     232.0      62.0     389.9     999.9     389.9
      77.0   17944.0     -79.1     999.9     999.9     999.9     252.0      53.0     403.7     999.9     403.7
      75.0   18095.0     -78.3     999.9     999.9     999.9     255.0      51.0     408.5     999.9     408.5
      70.0   18490.0     -76.1     999.9     999.9     999.9     255.0      43.0     421.3     999.9     421.3
      60.9   19303.0     -71.1     999.9     999.9     999.9     247.0      40.0     449.5     999.9     449.5
      59.0   19492.0     -70.5     999.9     999.9     999.9     245.0      39.0     455.0     999.9     455.0
      52.1   20233.0     -67.9     999.9     999.9     999.9     264.0      36.0     477.4     999.9     477.4
      50.0   20480.0     -68.1     999.9     999.9     999.9     270.0      35.0     482.6     999.9     482.6
      49.0   20601.0     -68.1     999.9     999.9     999.9     275.0      35.0     485.3     999.9     485.3
      45.7   21019.0     -68.3     999.9     999.9     999.9     273.0      36.0     494.7     999.9     494.7
      37.0   22307.0     -62.9     999.9     999.9     999.9     265.0      37.0     539.4     999.9     539.4
      35.1   22628.0     -61.5     999.9     999.9     999.9     256.0      37.0     551.1     999.9     551.1
      35.0     999.9     999.9     999.9     999.9     999.9     255.0      37.0     999.9     999.9     999.9
