47918 ROIG Ishigakijima Observations at 00Z 21 Jan 2019
--------------------------------------------------------------------------------------------------------------
      PRES      HGHT      TEMP      DWPT      RELH      MIXR      DRCT      SKNT      THTA      THTE      THTV
       hPa         m         C         C         %      g/kg       deg      knot         K         K         K
--------------------------------------------------------------------------------------------------------------
   1021.00      7.00     17.40     13.60     78.00      9.67     30.00     13.00    288.80    316.10    290.50
   1020.00     15.00     17.30     13.30     77.00      9.48     25.00      4.00    288.80    315.60    290.50
   1016.00     48.00     17.10     12.10     72.00      8.77     35.00     10.00    288.90    313.80    290.40
   1012.00     81.00     16.80     10.80     68.00      8.10     34.00     12.00    289.00    312.00    290.40
   1000.00    181.00     16.00     11.10     73.00      8.36     30.00     17.00    289.10    312.90    290.60
    981.00    343.00     14.90     10.50     75.00      8.18     35.00     23.00    289.60    312.90    291.00
    925.00    838.00     11.40      8.60     83.00      7.63     45.00     21.00    291.00    312.90    292.30
    875.00   1299.00      8.50      7.30     92.00      7.37     35.00     17.00    292.60    314.00    293.90
    850.00   1539.00      7.00      6.60     97.00      7.24     30.00     14.00    293.50    314.50    294.80
    837.00   1665.00      6.60      6.20     97.00      7.14     30.00     12.00    294.30    315.20    295.60
    809.00   1943.00      5.70      5.30     97.00      6.94     30.00      4.00    296.30    316.70    297.50
    770.00   2347.00      4.40      4.00     97.00      6.64    185.00      2.00    299.10    318.90    300.30
    755.00   2508.00      3.90      3.40     97.00      6.52    185.00     10.00    300.20    319.80    301.40
    715.00   2953.00      2.50      1.90     97.00      6.20    215.00     21.00    303.30    322.20    304.40
    703.00   3091.00      2.00      1.50     96.00      6.10    223.00     21.00    304.30    323.00    305.40
    700.00   3126.00      1.80      1.30     96.00      6.04    225.00     21.00    304.40    323.00    305.60
    683.00   3321.00      0.40     -0.40     94.00      5.46    235.00     23.00    305.10    322.00    306.10
    600.00   4347.00     -6.80     -9.50     81.00      3.13    270.00     27.00    308.30    318.30    308.80
    592.00   4453.00     -7.50    -10.40     80.00      2.94    270.00     31.00    308.60    318.10    309.10
    582.00   4586.00     -8.70    -23.70     29.00      0.98    270.00     35.00    308.70    312.00    308.90
    574.00   4693.00     -9.00    -21.30     36.00      1.22    270.00     39.00    309.60    313.80    309.80
    570.00   4747.00     -9.10    -20.10     41.00      1.37    269.00     40.00    310.10    314.70    310.30
    538.00   5193.00     -8.50    -15.50     57.00      2.14    261.00     53.00    315.90    323.20    316.30
    525.00   5383.00     -8.30    -10.60     83.00      3.27    257.00     58.00    318.40    329.30    319.00
    500.00   5760.00    -10.10    -15.00     67.00      2.40    250.00     68.00    320.70    328.90    321.10
    483.00   6026.00    -12.00    -17.00     66.00      2.10    245.00     70.00    321.50    328.80    321.90
    482.00   6042.00    -12.10    -17.10     66.00      2.09    245.00     70.00    321.60    328.80    322.00
    463.00   6348.00    -13.80    -20.60     56.00      1.61    250.00     72.00    323.20    328.90    323.50
    442.00   6702.00    -15.70    -24.70     46.00      1.18    250.00     77.00    325.10    329.40    325.30
    436.00   6805.00    -16.70    -25.70     46.00      1.09    250.00     78.00    325.10    329.10    325.30
    422.00   7050.00    -17.30    -29.30     34.00      0.81    250.00     82.00    327.40    330.40    327.50
    408.00   7302.00    -19.90    -29.90     41.00      0.79    250.00     85.00    327.20    330.10    327.30
    400.00   7450.00    -18.10    -33.10     26.00      0.59    250.00     87.00    331.40    333.70    331.50
    396.00   7525.00    -16.10    -35.10     18.00      0.49    250.00     87.00    334.90    336.90    335.00
    370.00   8034.00    -18.70    -38.70     15.00      0.37    252.00     90.00    338.00    339.50    338.10
    358.00   8280.00    -18.90    -38.90     15.00      0.37    252.00     91.00    341.00    342.50    341.10
    313.00   9260.00    -26.80    -45.30     16.00      0.21    255.00     95.00    343.30    344.20    343.40
    300.00   9570.00    -29.30    -47.30     16.00      0.18    255.00     93.00    344.00    344.70    344.00
    278.00  10105.00    -33.40    -50.10     17.00      0.14    250.00     91.00    345.60    346.20    345.70
    250.00  10850.00    -39.10    -54.10     19.00      0.10    245.00     93.00    347.80    348.20    347.80
    243.00  11044.00    -40.10    -56.10     16.00      0.08    246.00     93.00    349.10    349.50    349.10
    200.00  12340.00    -50.70    999.90    999.90    999.90    255.00     93.00    352.30    999.90    352.30
    180.00  13015.00    -56.80    999.90    999.90    999.90    255.00     95.00    353.10    999.90    353.10
    173.00  13269.00    -59.10    999.90    999.90    999.90    253.00     96.00    353.40    999.90    353.40
    150.00  14150.00    -66.50    999.90    999.90    999.90    245.00    101.00    355.30    999.90    355.30
    135.00  14767.00    -71.20    999.90    999.90    999.90    245.00    103.00    357.90    999.90    357.90
    124.00  15264.00    -75.00    999.90    999.90    999.90    240.00    103.00    359.80    999.90    359.80
    111.00  15912.00    -79.90    999.90    999.90    999.90    999.90    999.90    362.10    999.90    362.10
