time(s),CO2(ppm)
0,595.0
3,595.3
6,596.0
9,596.4
12,596.6
15,596.2
18,596.5
21,597.5
24,597.3
27,598.5
30,598.0
33,598.7
36,599.8
39,600.0
42,600.0
45,599.6
48,599.1
51,599.2
54,599.0
57,600.9
60,603.1
63,604.9
66,611.1
69,618.4
72,636.9
75,652.1
78,678.6
81,696.3
84,702.4
87,706.9
90,716.5
93,717.4
96,717.5
99,723.1
102,733.3
105,739.7
108,749.2
111,769.5
114,783.4
117,853.4
120,873.4
123,891.1
126,912.9
129,919.1
132,938.0
135,950.2
138,980.4
141,1010.1
144,1029.6
147,1069.9
150,1084.3
153,1114.2
156,1124.6
159,1135.3
162,1145.7
165,1158.7
168,1171.2
171,1184.1
174,1189.9
177,1206.7
180,1220.9
183,1297.2
186,1327.2
189,1343.2
192,1358.7
195,1371.4
198,1381.6
201,1391.7
204,1395.4
207,1411.7
210,1424.1
213,1497.0
216,1523.9
219,1540.2
222,1565.8
225,1568.3
228,1577.3
231,1583.1
234,1593.7
237,1607.4
240,1617.2
243,1636.5
246,1669.7
249,1714.2
252,1760.5
255,1766.5
258,1763.9
261,1766.5
264,1765.3
267,1762.5
270,1762.1
273,1758.9
276,1753.9
279,1752.9
282,1753.0
285,1752.0
288,1748.4
291,1746.9
294,1747.4
297,1749.0
300,1749.4
303,1748.8
306,1749.8
309,1751.0
312,1753.9
315,1754.5
318,1758.9
321,1762.3
324,1763.8
327,1771.5
330,1777.0
333,1797.3
336,1818.5
339,1843.5
342,1863.2
345,1882.4
348,1898.5
351,1903.9
354,1907.3
357,1909.3
360,1915.4
363,1920.5
366,1923.6
369,1927.0
372,1935.0
375,1940.0
378,1955.4
381,1958.1
384,1967.2
387,1975.4
390,1984.1
393,1999.3
396,2007.3
399,2015.5
402,2038.2
405,2052.1
408,2078.4
411,2089.5
414,2100.3
417,2103.9
420,2113.4
423,2128.2
426,2132.6
429,2137.7
432,2146.7
435,2151.7
438,2164.4
441,2170.1
444,2175.6
447,2187.9
450,2193.5
453,2199.1
456,2203.5
459,2205.8
462,2211.4
465,2216.6
468,2217.7
471,2222.9
474,2223.5
477,2227.7
480,2222.9
483,2216.6
486,2213.3
489,2206.4
492,2176.0
495,2133.8
498,2114.6
501,2110.6
504,2118.8
507,2112.7
510,2117.2
513,2119.8
516,2123.0
519,2125.6
522,2133.3
525,2136.3
528,2141.4
531,2146.9
534,2153.1
537,2168.4
540,2187.9
543,2338.4
546,2338.3
549,2362.1
552,2355.8
555,2365.3
558,2370.6
561,2375.7
564,2379.5
567,2391.4
570,2392.5
573,2399.4
576,2404.8
579,2408.6
582,2427.3
585,2436.0
588,2493.4
591,2515.5
594,2525.5
597,2526.6
600,2543.9
603,2558.4
606,2568.3
609,2576.4
612,2581.5
615,2581.3
618,2587.6
621,2592.1
624,2594.9
627,2599.5
630,2603.0
633,2615.3
636,2622.7
639,2643.2
642,2723.6
645,2730.9
648,2725.5
651,2736.7
654,2736.9
657,2753.0
660,2756.8
663,2770.0
666,2772.8
669,2777.4
672,2789.7
675,2790.8
678,2798.2
681,2802.6
684,2804.3
687,2811.5
690,2816.7
693,2827.6
696,2833.6
699,2854.6
702,2925.1
705,2928.9
708,2943.1
711,2942.7
714,2945.5
717,2953.7
720,2955.6
723,2960.8
726,2969.3
729,2970.0
732,2981.3
735,2990.0
738,3003.3
741,3016.7
744,3027.7
747,3062.3
750,3070.7
753,3090.7
756,3094.2
759,3103.4
762,3116.3
765,3119.4
768,3124.3
771,3128.2
774,3134.2
777,3144.5
780,3151.9
783,3158.7
786,3172.7
789,3183.7
792,3215.2
795,3227.2
798,3235.5
801,3227.9
804,3217.4
807,3188.3
810,3177.5
813,3137.3
816,3097.6
819,3040.5
822,3044.6
825,3046.3
828,3043.4
831,3036.0
834,3028.0
837,3039.4
840,3036.2
843,3020.8
846,3016.5
849,3006.5
852,2986.2
855,2975.0
858,2893.8
861,2890.1
864,2891.5
867,2890.5
870,2888.2
873,2902.3
876,2909.2
879,2913.9
882,2929.1
885,2934.6
888,2950.8
891,2962.3
894,2981.1
897,3052.0
900,3067.7
903,3095.6
906,3104.2
909,3112.9
912,3126.7
915,3133.5
918,3140.2
921,3152.1
924,3160.1
927,3181.8
930,3203.3
933,3305.9
936,3308.3
939,3307.3
942,3315.3
945,3321.6
948,3341.5
951,3350.1
954,3356.9
957,3368.8
960,3373.5
963,3376.7
966,3384.5
969,3392.6
972,3411.3
975,3433.5
978,3508.9
981,3557.4
984,3555.1
987,3547.2
990,3544.9
993,3570.0
996,3581.4
999,3583.5
1002,3592.6
1005,3599.4
1008,3609.6
1011,3613.4
1014,3618.9
1017,3631.3
1020,3634.1
1023,3646.6
1026,3655.0
1029,3671.0
1032,3690.8
1035,3707.3
1038,3717.8
1041,3726.8
1044,3732.1
1047,3746.0
1050,3751.8
1053,3757.6
1056,3760.6
1059,3768.7
1062,3773.4
1065,3778.6
1068,3785.4
1071,3792.5
1074,3794.9
1077,3802.6
1080,3806.2
1083,3816.3
1086,3821.7
1089,3828.4
1092,3861.5
1095,3880.0
1098,3904.3
1101,3901.1
1104,3915.1
1107,3936.8
