Pressure(hPa),O3PartialPressure(mPa),Temperature(C),GPHeight(m)
1019.58,1.503,20.9,11
1018.85,1.506,20.5,17
1018.39,1.516,20.4,21
1017.81,1.523,20.3,26
1017.22,1.525,20.1,31
1016.75,1.525,19.9,35
1016.18,1.525,19.9,40
1015.64,1.526,19.8,44
1015.11,1.526,19.8,49
1014.58,1.527,19.8,55
1014.07,1.53,19.7,59
1013.57,1.532,19.7,63
1013.09,1.543,19.6,67
1012.61,1.547,19.5,70
1012.12,1.553,19.5,73
1011.62,1.567,19.4,77
1011.09,1.58,19.4,81
1010.55,1.583,19.4,87
1009.98,1.585,19.3,93
1009.42,1.585,19.3,98
1008.85,1.586,19.2,103
1008.3,1.587,19.2,108
1007.75,1.589,19.1,112
1007.22,1.598,19.1,116
1006.68,1.604,19.1,121
1006.14,1.615,19,125
1005.59,1.616,19,129
1005.04,1.617,18.9,135
1004.47,1.618,18.9,140
1003.9,1.622,18.8,145
1003.32,1.622,18.8,149
1002.73,1.627,18.7,154
1002.13,1.632,18.7,159
1001.52,1.641,18.6,164
1000.9,1.643,18.5,170
1000.29,1.643,18.5,176
999.67,1.644,18.4,181
999.06,1.644,18.4,187
998.46,1.646,18.3,192
997.87,1.647,18.3,197
997.29,1.647,18.2,201
996.71,1.649,18.2,206
996.13,1.656,18.1,211
995.56,1.661,18.1,217
994.97,1.667,18,221
994.39,1.671,18,226
993.79,1.675,17.9,231
993.2,1.681,17.9,236
992.61,1.677,17.8,242
992.04,1.676,17.8,248
991.47,1.676,17.8,253
990.92,1.68,17.7,256
990.38,1.683,17.7,261
989.84,1.683,17.6,266
989.29,1.683,17.6,269
988.74,1.683,17.6,274
988.18,1.682,17.6,281
987.61,1.682,17.6,285
987.04,1.683,17.5,290
986.47,1.684,17.5,294
985.89,1.685,17.4,300
985.32,1.685,17.4,305
984.74,1.684,17.3,311
984.15,1.682,17.3,315
983.57,1.678,17.2,320
982.97,1.677,17.2,325
982.37,1.668,17.1,331
981.77,1.66,17.1,335
981.16,1.657,17.1,341
980.55,1.656,17,347
979.95,1.654,16.9,352
979.37,1.652,16.9,357
978.79,1.65,16.8,363
978.23,1.648,16.8,368
977.67,1.648,16.7,371
977.11,1.648,16.7,376
976.54,1.648,16.6,381
975.95,1.648,16.6,386
975.35,1.649,16.6,391
974.73,1.649,16.5,397
974.1,1.65,16.4,402
973.47,1.652,16.4,410
