GPHeight,Pressure,O3PartialPressure,Temperature
100,680.1,2.0131,-46.02
200,680.1,2.0131,-46.02
300,680.1,2.0131,-46.02
400,680.1,2.0131,-46.02
500,680.1,2.0131,-46.02
600,680.1,2.0131,-46.02
700,680.1,2.0131,-46.02
800,680.1,2.0131,-46.02
900,680.1,2.0131,-46.02
1000,680.1,2.0131,-46.02
1100,680.1,2.0131,-46.02
1200,680.1,2.0131,-46.02
1300,680.1,2.0131,-46.02
1400,680.1,2.0131,-46.02
1500,680.1,2.0131,-46.02
1600,680.1,2.0131,-46.02
1700,680.1,2.0131,-46.02
1800,680.1,2.0131,-46.02
1900,680.1,2.0131,-46.02
2000,680.1,2.0131,-46.02
2100,680.1,2.0131,-46.02
2200,680.1,2.0131,-46.02
2300,680.1,2.0131,-46.02
2400,680.1,2.0131,-46.02
2500,680.1,2.0131,-46.02
2600,680.1,2.0131,-46.02
2700,680.1,2.0131,-46.02
2800,680.1,2.0131,-46.02
2900,673.0228571428571,2.062814285714286,-41.254285714285714
3000,663.226,1.7688,-38.382
3100,653.684,1.4754,-35.788000000000004
3200,644.35,1.3709,-34.95
3300,635.16,1.2663,-34.94
3400,626.1,1.321,-35.025
3500,617.1566666666666,1.3444,-35.446666666666665
3600,608.33,1.3596,-35.59
3700,599.6279999999999,1.3224399999999998,-35.949999999999996
3800,591.04,1.2897666666666665,-36.24
3900,582.5550000000001,1.33445,-36.5225
4000,574.196,1.48086,-36.874
4100,565.9416666666667,1.5158166666666668,-36.9
4200,557.81,1.5351,-37.17
4300,549.77,1.4369,-37.614
4400,541.8371428571428,1.3497857142857141,-38.15857142857143
4500,534.0066666666667,1.4566666666666666,-38.23
4600,526.2866666666667,1.3903,-38.71333333333334
4700,518.652,1.32658,-39.26
4800,511.106,1.31898,-39.910000000000004
4900,503.6566666666667,1.2762166666666666,-40.629999999999995
5000,496.296,1.2738,-41.19
5100,489.0214285714286,1.218,-41.77142857142857
5200,481.83500000000004,1.2907,-42.394999999999996
5300,474.74,1.2771,-43.118
5400,467.72857142857146,1.2480142857142857,-43.78142857142857
5500,460.7925,1.3364,-44.38
5600,453.95,1.2945,-45.05
5700,447.1875,1.383825,-45.67
5800,440.50333333333333,1.4449,-46.26833333333334
5900,433.90625,1.4654250000000002,-46.73
6000,427.395,1.3797,-47.41833333333333
6100,420.9633333333333,1.3346333333333333,-48.196666666666665
6200,414.606,1.3104200000000001,-48.85
6300,408.322,1.26434,-49.844
6400,402.1,1.2444,-50.66
6500,395.9625,1.2243,-51.4525
6600,389.9,1.25394,-52.19
6700,383.9,1.22838,-53.032000000000004
6800,377.972,1.23424,-53.748000000000005
6900,372.12,1.2151,-54.47
7000,366.34333333333336,1.2161,-55.11
7100,360.634,1.2215,-55.946
7200,354.9925,1.18555,-56.6475
7300,349.425,1.1751500000000001,-57.38166666666666
7400,343.92199999999997,1.15924,-58.118
7500,338.49,1.1188,-58.86
7600,333.1333333333333,1.1427666666666665,-59.51
7700,327.83,1.13,-60.34
7800,322.604,1.1375,-61.016
7900,317.44,1.1233499999999998,-61.57
8000,312.35,1.2504,-62.05
8100,307.33,1.3127,-62.49
8200,302.376,1.22996,-63.108
8300,297.49,1.1871,-63.65
8400,292.672,1.191,-64.378
8500,287.91249999999997,1.1256,-65.0025
8600,283.225,1.2625,-65.485
8700,278.6,1.6156,-65.78
8800,274.04499999999996,1.4458000000000002,-66.0475
8900,269.56,1.5677,-66.43
9000,265.14250000000004,1.5823999999999998,-66.6875
9100,260.78,1.5115,-67.29
9200,256.4866666666666,1.5495333333333332,-67.70333333333333
9300,252.25,1.2929,-68.3
9400,248.07999999999998,1.4408666666666667,-68.71000000000001
9500,243.97,1.6982666666666668,-69.04333333333334
9600,239.91,1.8394499999999998,-69.565
9700,235.92,1.8273,-70.14
9800,231.98,2.0291,-70.4
9900,228.11,1.9367999999999999,-70.405
10000,224.29500000000002,2.26415,-70.795
10100,220.54,2.2894,-70.83
10200,216.85,2.6061,-70.96
10300,213.22,2.6489,-71.07
10400,209.64,2.8029,-71.21
10500,206.12666666666667,2.977933333333333,-71.29666666666667
10600,202.67333333333335,3.088233333333333,-71.30666666666667
10700,199.27333333333334,3.0772,-71.45
