
Time    Height         P         T         U        Td        WS        WD
0000,       28,   1005.7,     31.9,       67,     25.0,      1.3,      128
0044,      300,    975.6,     27.3,       79,     23.5,      2.8,      235
0090,      600,    943.1,     24.5,       89,     22.6,      5.9,      229
0142,      900,    911.5,     21.9,       95,     21.2,      8.2,      231
0198,     1200,    880.7,     22.4,       66,     16.0,     11.1,      213
0253,     1500,    850.9,     20.4,       67,     14.3,      5.8,      193
0302,     1800,    821.9,     18.9,       65,     12.2,      8.7,      192
0353,     2100,    793.7,     16.9,       67,     10.9,      4.2,      192
0402,     2400,    766.2,     14.3,       75,     10.0,      2.8,      124
0453,     2700,    739.6,     13.6,       68,      8.0,      2.5,      138
0505,     3000,    713.8,     12.2,       64,      5.7,      6.1,      201
0561,     3300,    688.7,     10.3,       65,      4.2,      6.5,      193
0613,     3600,    664.4,      8.3,       70,      3.2,      8.4,      189
0670,     3900,    640.7,      6.7,       68,      1.3,      9.7,      186
0720,     4200,    617.8,      5.8,       48,     -4.2,     12.2,      186
0771,     4500,    595.6,      3.7,       62,     -2.8,     11.3,      188
0819,     4800,    574.0,      2.3,       62,     -4.1,     10.0,      182
0868,     5100,    553.1,     -0.0,       69,     -4.8,      8.7,      179
0919,     5400,    532.7,     -2.1,       76,     -5.8,      8.7,      174
0968,     5700,    513.0,     -4.1,       79,     -7.2,      9.5,      196
1015,     6000,    493.9,     -6.2,       74,    -10.0,     10.6,      212
1065,     6300,    475.3,     -8.4,       85,    -10.3,      8.6,      232
1112,     6600,    457.3,    -10.4,       99,    -10.5,      6.5,      244
1159,     6900,    439.8,    -11.9,       88,    -13.4,      5.8,      221
1206,     7200,    423.0,    -13.7,       80,    -16.4,      7.4,      211
1258,     7500,    406.6,    -14.8,       56,    -21.6,      5.6,      217
1308,     7800,    390.8,    -16.7,       43,    -26.3,      7.5,      232
1356,     8100,    375.5,    -18.7,       37,    -29.6,      6.3,      228
1409,     8400,    360.7,    -20.5,       20,    -37.8,      6.2,      232
1453,     8700,    346.4,    -23.2,       40,    -33.1,      6.5,      238
1506,     9000,    332.5,    -25.5,       20,    -41.7,      6.1,      247
1555,     9300,    319.0,    -27.6,       36,    -38.2,      4.9,      277
1606,     9600,    306.0,    -28.9,       88,    -30.2,      4.7,        5
1657,     9900,    293.4,    -30.8,       86,    -32.2,      8.1,        5
1714,    10200,    281.3,    -32.8,       76,    -35.6,      8.1,        2
1767,    10500,    269.6,    -34.6,       63,    -39.1,      5.8,        1
1824,    10800,    258.2,    -36.8,       53,    -42.9,      5.4,      347
1880,    11100,    247.3,    -39.4,       66,    -43.4,      5.4,      340
1931,    11400,    236.7,    -41.7,       50,    -48.0,      4.6,      330
1986,    11700,    226.4,    -44.0,       46,    -51.0,      5.5,      340
2038,    12000,    216.5,    -46.7,       50,    -52.7,      5.6,      344
2088,    12300,    206.9,    -49.5,       46,    -56.1,      5.0,      325
2143,    12600,    197.7,    -52.2,       60,    -56.4,      5.4,      339
2196,    12900,    188.7,    -54.8,       74,    -57.2,      6.5,      342
2246,    13200,    180.1,    -56.6,       46,    -62.8,      6.7,      334
2299,    13500,    171.8,    -59.0,       54,    -63.8,      8.4,      327
2353,    13800,    163.7,    -61.8,       60,    -65.6,      9.2,      330
2404,    14100,    156.0,    -63.8,       56,    -68.1,     11.3,      341
2454,    14400,    148.5,    -65.7,       50,    -70.7,     12.5,      353
2501,    14700,    141.4,    -67.4,       52,    -72.1,      9.3,        3
2553,    15000,    134.5,    -70.0,       59,    -73.6,      7.2,       10
2604,    15300,    127.9,    -71.6,       57,    -75.5,     11.8,        3
2658,    15600,    121.6,    -73.4,       49,    -78.3,     14.3,       14
2714,    15900,    115.5,    -74.4,       31,    -82.1,     14.9,       22
2770,    16200,    109.8,    -75.0,       39,    -81.1,     13.2,       25
2823,    16500,    104.3,    -75.1,       25,    -84.1,      9.1,       46
2875,    16800,     99.0,    -76.3,       22,    -85.9,      9.5,       43
2926,    17100,     94.0,    -76.2,       19,    -86.6,     12.5,       26
2979,    17400,     89.3,    -75.5,       16,    -87.1,     11.0,       37
3032,    17700,     84.8,    -75.6,       14,    -87.7,     14.8,       48
3088,    18000,     80.6,    -73.7,       10,    -88.1,     13.2,       56
3136,    18300,     76.6,    -73.4,        9,    -88.4,     10.8,       74
3186,    18600,     72.8,    -73.2,        8,    -89.0,     12.1,       83
3238,    18900,     69.2,    -70.8,        6,    -88.7,     12.2,       66
3290,    19200,     65.8,    -68.7,        4,    -88.9,     14.9,       82
3339,    19500,     62.6,    -68.6,        4,    -88.6,     14.4,       96
3387,    19800,     59.6,    -69.8,        4,    -89.3,     10.7,      107
3436,    20100,     56.7,    -68.3,        3,    -89.9,      8.6,       75
3485,    20400,     54.0,    -65.6,        2,    -89.4,     10.5,       54
3533,    20700,     51.4,    -65.4,        2,    -89.2,     15.5,       72
3582,    21000,     49.0,    -63.1,        1,    -89.3,     18.2,      101
3630,    21300,     46.6,    -62.8,        2,    -88.9,     14.5,      115
3678,    21600,     44.4,    -62.4,        1,    -89.1,     14.5,      109
3725,    21900,     42.4,    -61.4,        1,    -89.1,     14.5,       93
3774,    22200,     40.4,    -59.0,        1,    -88.8,     13.1,       93
3825,    22500,     38.5,    -54.5,        1,    -86.7,     15.3,       90
3878,    22800,     36.8,    -54.0,        1,    -86.3,     14.0,       78
3927,    23100,     35.1,    -53.2,        1,    -85.8,     18.7,       97
3973,    23400,     33.5,    -53.3,        1,    -85.9,     14.5,       96

