47918 ROIG Ishigakijima Observations at 00Z 29 Jan 2016
--------------------------------------------------------------------------------------------------------------
      PRES      HGHT      TEMP      DWPT      RELH      MIXR      DRCT      SKNT      THTA      THTE      THTV
       hPa         m         C         C         %      g/kg       deg      knot         K         K         K
--------------------------------------------------------------------------------------------------------------
   1017.00      7.00     24.20     19.90     77.00     14.60    150.00     12.00    295.90    338.10    298.50
   1000.00    156.00     22.80     18.30     76.00     13.41    160.00     16.00    295.90    334.80    298.30
    925.00    830.00     17.40     14.10     81.00     11.05    185.00     23.00    297.10    329.30    299.10
    850.00   1547.00     12.40      9.80     84.00      9.02    210.00     25.00    299.10    325.80    300.80
    848.00   1567.00     12.40      9.20     81.00      8.68    211.00     25.00    299.30    325.10    300.90
    829.00   1757.00     11.60      8.80     83.00      8.67    225.00     23.00    300.40    326.20    302.00
    801.00   2044.00     10.40      8.30     87.00      8.65    220.00     28.00    302.10    328.00    303.70
    783.00   2235.00     13.60     -2.40     33.00      4.11    216.00     31.00    307.50    320.60    308.30
    770.00   2376.00     13.80     -3.20     31.00      3.94    213.00     34.00    309.20    321.80    309.90
    731.00   2809.00     10.50     -7.00     28.00      3.10    205.00     41.00    310.20    320.30    310.80
    700.00   3170.00      7.80    -10.20     27.00      2.53    205.00     43.00    311.10    319.40    311.60
    663.00   3616.00      5.80    -23.20     10.00      0.90    210.00     43.00    313.70    316.90    313.90
    569.00   4848.00     -2.30    -18.30     28.00      1.60    223.00     43.00    318.20    323.80    318.50
    527.00   5451.00     -7.20    -11.20     74.00      3.11    230.00     43.00    319.30    329.80    319.90
    520.00   5556.00     -8.10     -9.90     87.00      3.49    231.00     44.00    319.50    331.10    320.20
    500.00   5860.00    -10.10    -12.90     80.00      2.85    235.00     47.00    320.70    330.30    321.20
    475.00   6252.00    -12.20    -16.60     70.00      2.20    245.00     49.00    322.80    330.40    323.20
    437.00   6888.00    -15.70    -22.70     55.00      1.42    236.00     54.00    326.10    331.30    326.40
    414.00   7293.00    -18.40    -24.10     61.00      1.32    230.00     58.00    327.80    332.60    328.00
    400.00   7550.00    -20.10    -25.00     65.00      1.26    235.00     64.00    328.80    333.40    329.00
    394.00   7662.00    -21.30    -24.30     77.00      1.37    235.00     65.00    328.60    333.60    328.90
    365.00   8223.00    -24.10    -34.10     39.00      0.59    232.00     71.00    332.20    334.40    332.30
    337.00   8800.00    -27.20    -43.90     19.00      0.23    230.00     78.00    335.60    336.60    335.70
    324.00   9084.00    -28.70    -48.70     13.00      0.14    232.00     76.00    337.30    337.90    337.30
    302.00   9583.00    -33.10    -48.50     20.00      0.16    235.00     72.00    338.00    338.60    338.00
    300.00   9630.00    -33.50    -48.50     21.00      0.16    235.00     74.00    338.00    338.70    338.10
    299.00   9653.00    -33.70    -48.70     21.00      0.15    235.00     74.00    338.10    338.70    338.10
    288.00   9917.00    -32.50    -56.50      7.00      0.06    236.00     80.00    343.40    343.70    343.40
    256.00  10735.00    -38.20    -63.00      6.00      0.03    240.00     97.00    346.80    347.00    346.80
    250.00  10900.00    -39.30    -64.30      5.00      0.03    240.00     97.00    347.50    347.60    347.50
    246.00  11010.00    -40.10    -65.10      5.00      0.02    240.00     97.00    347.90    348.00    347.90
    200.00  12390.00    -51.10    999.90    999.90    999.90    235.00     91.00    351.70    999.90    351.70
    159.00  13825.00    -63.40    999.90    999.90    999.90    245.00     93.00    354.70    999.90    354.70
    150.00  14190.00    -66.50    999.90    999.90    999.90    250.00     95.00    355.30    999.90    355.30
    134.00  14867.00    -70.10    999.90    999.90    999.90    253.00     85.00    360.60    999.90    360.60
    122.00  15413.00    -73.00    999.90    999.90    999.90    255.00     76.00    365.10    999.90    365.10
    105.00  16287.00    -77.70    999.90    999.90    999.90    230.00     72.00    372.10    999.90    372.10
    101.00  16513.00    -78.90    999.90    999.90    999.90    235.00     70.00    374.00    999.90    374.00
    100.00  16570.00    -78.70    999.90    999.90    999.90    240.00     70.00    375.40    999.90    375.40
     88.30  17281.00    -77.10    999.90    999.90    999.90    248.00     56.00    392.20    999.90    392.20
     86.00  17434.00    -73.10    999.90    999.90    999.90    250.00     53.00    403.20    999.90    403.20
     79.00  17924.00    -75.80    999.90    999.90    999.90    255.00     43.00    407.70    999.90    407.70
     71.90  18468.00    -78.70    999.90    999.90    999.90    225.00     41.00    412.50    999.90    412.50
     70.00  18620.00    -78.90    999.90    999.90    999.90    225.00     45.00    415.30    999.90    415.30
     69.00  18702.00    -79.00    999.90    999.90    999.90    220.00     47.00    416.80    999.90    416.80
     67.60  18819.00    -79.10    999.90    999.90    999.90    224.00     47.00    419.00    999.90    419.00
     63.60  19171.00    -73.30    999.90    999.90    999.90    235.00     46.00    439.10    999.90    439.10
     52.30  20337.00    -66.90    999.90    999.90    999.90    272.00     44.00    479.20    999.90    479.20
     50.00  20610.00    -66.50    999.90    999.90    999.90    280.00     43.00    486.40    999.90    486.40
     47.00  20988.00    -65.20    999.90    999.90    999.90    285.00     41.00    498.20    999.90    498.20
     41.00  21824.00    -62.30    999.90    999.90    999.90    280.00     29.00    525.20    999.90    525.20
     39.10  22114.00    -61.30    999.90    999.90    999.90    308.00     25.00    534.90    999.90    534.90
     39.00  22130.00    -61.30    999.90    999.90    999.90    310.00     25.00    535.30    999.90    535.30
     34.00  22980.00    -61.10    999.90    999.90    999.90    305.00     16.00    557.10    999.90    557.10
     33.00  23165.00    -61.10    999.90    999.90    999.90    248.00      9.00    562.00    999.90    562.00
     32.00  23357.00    -60.00    999.90    999.90    999.90    190.00      2.00    569.90    999.90    569.90
     30.00  23760.00    -57.70    999.90    999.90    999.90    260.00      8.00    586.80    999.90    586.80
     28.00  24196.00    -56.20    999.90    999.90    999.90      0.00     10.00    602.70    999.90    602.70
     26.20  24616.00    -54.70    999.90    999.90    999.90     45.00     13.00    618.40    999.90    618.40
     24.00  25176.00    -54.20    999.90    999.90    999.90    105.00     16.00    635.40    999.90    635.40
     21.00  26029.00    -53.50    999.90    999.90    999.90     90.00     10.00    662.20    999.90    662.20
     20.00  26340.00    -53.30    999.90    999.90    999.90    115.00     17.00    672.30    999.90    672.30
     18.00  27022.00    -51.90    999.90    999.90    999.90    140.00     19.00    697.40    999.90    697.40
     17.30  27279.00    -51.30    999.90    999.90    999.90    167.00     18.00    707.10    999.90    707.10
     16.00  27790.00    -50.50    999.90    999.90    999.90    220.00     16.00    725.70    999.90    725.70
     15.00  28212.00    -49.80    999.90    999.90    999.90    305.00      2.00    741.50    999.90    741.50
     14.00  28664.00    -49.10    999.90    999.90    999.90    305.00      8.00    758.70    999.90    758.70
     13.00  29149.00    -48.30    999.90    999.90    999.90      5.00     21.00    777.60    999.90    777.60
     12.00  29674.00    -48.90    999.90    999.90    999.90     20.00     29.00    793.50    999.90    793.50
     10.00  30870.00    -50.30    999.90    999.90    999.90    330.00     17.00    830.70    999.90    830.70
      9.60  31136.00    -50.50    999.90    999.90    999.90    332.00     19.00    839.70    999.90    839.70
      9.00  31561.00    -49.10    999.90    999.90    999.90    335.00     21.00    860.80    999.90    860.80
      8.00  32337.00    -46.50    999.90    999.90    999.90      0.00     14.00    900.60    999.90    900.60
      7.80  32503.00    -45.90    999.90    999.90    999.90    999.90    999.90    909.40    999.90    909.40
