--------------------------------------------------------------------------------------------------------------
      PRES      HGHT      TEMP      DWPT      RELH      MIXR      DRCT      SKNT      THTA      THTE      THTV
       hPa         m         C         C         %      g/kg       deg      knot         K         K         K
--------------------------------------------------------------------------------------------------------------
    1019.0       7.0      22.8      16.8      69.0      11.9      40.0       5.0     294.4     328.8     296.5
    1000.0     174.0      22.6      14.6      61.0      10.6      65.0       6.0     295.8     326.4     297.6
     983.0     322.0      21.3      14.4      65.0      10.6      85.0       8.0     295.9     326.8     297.8
     956.0     564.0      19.2      14.2      73.0      10.8      81.0       8.0     296.1     327.4     298.1
     950.0     618.0      18.7      13.7      73.0      10.5      80.0       8.0     296.2     326.6     298.0
     925.0     846.0      16.6      11.6      72.0       9.3      50.0       8.0     296.3     323.6     297.9
     915.0     938.0      15.9      11.0      73.0       9.1      40.0       8.0     296.5     323.1     298.1
     881.0    1258.0      13.6       8.9      73.0       8.2      25.0      10.0     297.3     321.4     298.8
     850.0    1560.0      11.4       6.9      74.0       7.4      60.0       8.0     298.1     320.0     299.4
     848.0    1580.0      11.3       6.9      74.0       7.4      60.0       8.0     298.2     320.2     299.5
     830.0    1759.0      10.4       7.1      80.0       7.7      44.0       8.0     299.1     321.9     300.4
     776.0    2319.0       8.6       5.3      80.0       7.2     352.0      10.0     302.9     324.9     304.2
     764.0    2448.0      10.2      -0.8      46.0       4.8     340.0      10.0     306.0     320.8     306.9
     754.0    2559.0      13.1      -3.3      32.0       4.0     330.0      10.0     310.3     323.1     311.1
     753.0    2570.0      13.4      -3.6      31.0       3.9     329.0      10.0     310.7     323.3     311.5
     700.0    3181.0      11.2     -21.8       8.0       1.0     295.0      14.0     314.9     318.2     315.0
     678.0    3446.0       9.2     -15.8      15.0       1.6     277.0      15.0     315.5     321.2     315.8
     674.0    3495.0       8.8      -3.2      43.0       4.5     274.0      16.0     315.6     330.3     316.4
     669.0    3556.0       8.4      -3.7      42.0       4.4     270.0      16.0     315.9     330.2     316.7
     565.0    4933.0       0.0     -14.0      34.0       2.3     273.0      24.0     321.6     329.5     322.0
     544.0    5236.0      -2.9     -10.9      54.0       3.1     274.0      25.0     321.6     332.0     322.2
     540.0    5294.0      -2.9     -15.9      36.0       2.1     274.0      26.0     322.3     329.4     322.7
     519.0    5607.0      -5.5     -14.5      49.0       2.4     274.0      27.0     322.8     331.1     323.3
     514.0    5683.0      -5.3     -29.3      13.0       0.7     275.0      28.0     323.9     326.4     324.1
     501.0    5884.0      -5.9     -19.9      32.0       1.6     275.0      29.0     325.6     331.2     325.9
     500.0    5900.0      -6.1     -20.1      32.0       1.6     275.0      29.0     325.5     331.1     325.9
     473.0    6332.0      -8.3     -34.3      10.0       0.4     271.0      32.0     328.0     329.7     328.1
     469.0    6398.0      -8.9     -20.9      37.0       1.6     271.0      33.0     328.1     333.7     328.4
     400.0    7610.0     -17.1     -32.1      26.0       0.7     260.0      43.0     332.7     335.2     332.8
     397.0    7667.0     -17.5     -32.5      26.0       0.6     260.0      43.0     332.9     335.3     333.0
     382.0    7955.0     -17.7     -39.7      13.0       0.3     262.0      44.0     336.3     337.6     336.4
     343.0    8742.0     -23.4     -44.5      13.0       0.2     265.0      47.0     339.1     339.9     339.1
     300.0    9720.0     -30.5     -50.5      12.0       0.1     275.0      45.0     342.3     342.8     342.3
     288.0   10007.0     -32.5     -53.5      11.0       0.1     285.0      47.0     343.4     343.8     343.4
     257.0   10793.0     -40.1     -57.1      15.0       0.1     273.0      44.0     343.6     343.9     343.6
     250.0   10980.0     -41.7     999.9     999.9     999.9     270.0      43.0     343.9     999.9     343.9
     221.0   11798.0     -47.3     999.9     999.9     999.9     260.0      51.0     347.6     999.9     347.6
     200.0   12460.0     -51.9     999.9     999.9     999.9     260.0      51.0     350.4     999.9     350.4
     150.0   14260.0     -67.3     999.9     999.9     999.9     280.0      49.0     354.0     999.9     354.0
     142.0   14585.0     -69.1     999.9     999.9     999.9     275.0      51.0     356.4     999.9     356.4
     125.0   15341.0     -73.3     999.9     999.9     999.9     264.0      39.0     362.0     999.9     362.0
     107.0   16236.0     -79.2     999.9     999.9     999.9     250.0      25.0     367.4     999.9     367.4
     106.0   16290.0     -79.5     999.9     999.9     999.9     245.0      27.0     367.7     999.9     367.7
     100.0   16620.0     -79.1     999.9     999.9     999.9     215.0      29.0     374.6     999.9     374.6
      98.0   16734.0     -79.3     999.9     999.9     999.9     205.0      29.0     376.5     999.9     376.5
      81.0   17809.0     -81.0     999.9     999.9     999.9     225.0      23.0     394.0     999.9     394.0
      76.0   18168.0     -81.6     999.9     999.9     999.9     195.0      21.0     400.0     999.9     400.0
      75.0   18243.0     -81.7     999.9     999.9     999.9     999.9     999.9     401.3     999.9     401.3
