
Time    Height         P         T         U        Td        WS        WD
0000,       28,   1005.5,     29.4,       64,     21.9,      0.2,      146
0053,      300,    975.1,     25.8,       78,     21.8,      5.0,      222
0108,      600,    942.5,     24.1,       89,     22.2,     11.4,      235
0166,      900,    910.9,     22.4,       85,     19.9,     10.9,      229
0222,     1200,    880.1,     21.0,       79,     17.3,      8.8,      226
0278,     1500,    850.2,     20.3,       68,     14.3,      9.1,      217
0333,     1800,    821.2,     18.9,       64,     12.1,      8.0,      207
0389,     2100,    793.1,     16.7,       67,     10.7,      4.0,      195
0445,     2400,    765.6,     14.4,       72,      9.5,      1.6,      145
0499,     2700,    738.9,     13.0,       70,      7.8,      5.0,      106
0556,     3000,    713.1,     11.7,       67,      6.0,      5.7,      169
0613,     3300,    688.1,     10.7,       60,      3.5,      9.2,      175
0668,     3600,    663.8,      9.1,       62,      2.4,     12.0,      179
0721,     3900,    640.2,      7.0,       64,      0.7,     12.5,      188
0777,     4200,    617.3,      6.0,       58,     -1.5,     13.0,      189
0827,     4500,    595.1,      4.2,       46,     -6.3,     11.8,      189
0883,     4800,    573.5,      1.8,       60,     -5.1,     12.0,      186
0942,     5100,    552.6,     -0.1,       73,     -4.3,     11.0,      197
0993,     5400,    532.3,     -0.8,       46,    -10.8,      9.4,      220
1049,     5700,    512.7,     -3.3,       66,     -8.8,      7.3,      234
1099,     6000,    493.6,     -5.8,       73,     -9.8,      6.3,      227
1153,     6300,    475.1,     -7.9,       99,     -7.9,      6.5,      212
1205,     6600,    457.1,    -10.0,       98,    -10.1,      7.0,      215
1258,     6900,    439.7,    -12.2,       97,    -12.6,      6.3,      232
1316,     7200,    422.8,    -13.7,       66,    -18.7,      5.0,      244
1371,     7500,    406.4,    -16.0,       71,    -19.9,      3.9,      236
1424,     7800,    390.6,    -17.4,       63,    -22.7,      5.3,      251
1483,     8100,    375.3,    -19.3,       48,    -27.5,      5.8,      231
1540,     8400,    360.4,    -21.8,       46,    -30.1,      3.7,      246
1588,     8700,    346.1,    -23.1,       18,    -40.8,      5.2,      243
1644,     9000,    332.2,    -25.6,       20,    -41.8,      4.5,      245
1696,     9300,    318.7,    -27.9,       35,    -38.6,      4.1,      278
1739,     9600,    305.7,    -28.8,       79,    -31.2,      9.5,      338
1794,     9900,    293.2,    -31.1,       91,    -32.0,      8.8,      346
1848,    10200,    281.0,    -32.1,       72,    -35.4,      7.5,       10
1903,    10500,    269.4,    -34.0,       52,    -40.4,      9.0,      359
1958,    10800,    258.1,    -36.6,       55,    -42.5,      8.4,      357
2009,    11100,    247.1,    -39.3,       51,    -45.6,      6.9,      356
2064,    11400,    236.5,    -41.7,       52,    -47.7,      6.6,      352
2120,    11700,    226.3,    -44.2,       38,    -52.7,      7.3,      346
2169,    12000,    216.4,    -47.0,       54,    -52.3,      7.3,      353
2208,    12300,    206.8,    -49.7,       67,    -53.2,      4.1,        6
2257,    12600,    197.5,    -52.2,       50,    -57.9,      5.4,      356
2312,    12900,    188.6,    -54.5,       57,    -59.2,      6.3,        3
2364,    13200,    179.9,    -57.1,       58,    -61.5,      6.2,       11
2418,    13500,    171.6,    -59.1,       53,    -64.1,      5.5,       10
2470,    13800,    163.6,    -61.8,       60,    -65.6,      7.0,        7
2525,    14100,    155.8,    -64.4,       61,    -68.1,      8.5,      345
2580,    14400,    148.4,    -66.0,       54,    -70.5,      8.9,        6
2635,    14700,    141.3,    -67.2,       41,    -73.6,      8.4,       19
2690,    15000,    134.4,    -70.0,       57,    -73.9,      8.2,       10
2745,    15300,    127.8,    -72.3,       66,    -75.1,     12.2,        1
2794,    15600,    121.5,    -73.1,       55,    -77.1,     17.9,       12
2849,    15900,    115.4,    -74.1,       50,    -78.7,     18.3,       27
2902,    16200,    109.6,    -75.7,       50,    -80.2,     15.0,       27
2953,    16500,    104.1,    -75.6,       28,    -83.8,     11.9,       47
3005,    16800,     98.9,    -76.6,       24,    -85.7,     10.6,       52
3058,    17100,     93.9,    -77.0,       25,    -85.7,     11.8,       37
3114,    17400,     89.1,    -76.7,       19,    -87.0,     13.0,       48
3169,    17700,     84.6,    -76.6,       18,    -87.4,     13.1,       47
3222,    18000,     80.4,    -75.3,       13,    -88.0,     13.0,       54
3273,    18300,     76.4,    -72.5,        8,    -88.0,     12.3,       65
3323,    18600,     72.6,    -71.2,        7,    -88.2,     12.4,       69
3373,    18900,     69.1,    -69.6,        5,    -88.4,     12.9,       56
3421,    19200,     65.7,    -68.0,        4,    -88.4,     15.7,       76
3468,    19500,     62.6,    -67.2,        4,    -87.8,     15.4,       99
3520,    19800,     59.5,    -67.6,        4,    -88.3,     13.6,      125
3572,    20100,     56.7,    -66.5,        3,    -88.6,     12.1,      106
3624,    20400,     54.0,    -65.3,        3,    -88.2,      9.6,       79

